ID	lnL0	lnL1
ORTHOMCL2177	 -3305.209887	 -3305.209887
ORTHOMCL8558	 -1352.490919	 -1352.490919
ORTHOMCL4717	 -1418.438307	 -1418.473140
ORTHOMCL3493	 -1564.506722	 -1564.506722
ORTHOMCL4822	 -3659.549889	 -3659.549889
ORTHOMCL9568	 -4035.828482	 -4035.828485
ORTHOMCL3858	  -714.203860	  -714.203860
ORTHOMCL9503	  -777.791110	  -777.791110
ORTHOMCL9915	  -272.570657	  -272.571435
ORTHOMCL8886	  -696.161146	  -696.161146
ORTHOMCL1249	 -6275.834102	 -6275.834102
ORTHOMCL10079	 -4801.833571	 -4801.833571
ORTHOMCL5571	 -1911.424910	 -1911.133871
ORTHOMCL10038	 -2241.598030	 -2241.598030
ORTHOMCL2525	 -3379.263005	 -3381.236002
ORTHOMCL2826	 -2297.809127	 -2297.809127
ORTHOMCL9979	 -1279.137360	 -1279.137360
ORTHOMCL1877	  -837.641610	  -838.583182
ORTHOMCL5795	 -2112.562332	 -2112.562332
ORTHOMCL7604	 -2646.770416	 -2646.961558
ORTHOMCL4905	 -3225.781174	 -3225.781174
ORTHOMCL2120	  -398.047401	  -398.139164
ORTHOMCL4274	 -1290.429881	 -1290.429881
ORTHOMCL4591	 -2659.617499	 -2659.617499
ORTHOMCL9149	 -1620.706434	 -1620.706434
ORTHOMCL7393	  -901.773308	  -901.773308
ORTHOMCL10045	 -1301.029857	 -1301.029857
ORTHOMCL8963	 -1081.611866	 -1081.611866
ORTHOMCL2122	 -2240.015800	 -2240.015800
ORTHOMCL7091	 -2159.290845	 -2159.290845
ORTHOMCL3880	 -5660.037002	 -5660.037736
ORTHOMCL8570	 -2410.846107	 -2410.846227
ORTHOMCL3986	 -5117.609556	 -5117.609556
ORTHOMCL4927	 -1634.958130	 -1634.958130
ORTHOMCL9904	  -289.806640	  -289.806640
ORTHOMCL4326	 -1157.343106	 -1157.343106
ORTHOMCL6144	 -1357.502415	 -1357.502415
ORTHOMCL5908	 -1559.040514	 -1559.040514
ORTHOMCL8838	 -1514.468576	 -1515.171376
ORTHOMCL4341	 -1686.153909	 -1686.161460
ORTHOMCL6152	 -1455.225818	 -1455.757320
ORTHOMCL9561	 -1227.246223	 -1228.490627
ORTHOMCL2677	 -1633.077500	 -1633.077500
ORTHOMCL4981	 -2334.743682	 -2334.743682
ORTHOMCL9709	 -1800.661643	 -1800.661643
ORTHOMCL6314	 -1239.761082	 -1239.761082
ORTHOMCL4557	  -747.673588	  -750.156374
ORTHOMCL9190	 -1622.696275	 -1622.696275
ORTHOMCL4276	 -2194.119520	 -2194.119520
ORTHOMCL8565	  -825.992905	  -825.992905
ORTHOMCL8953	  -476.975782	  -476.975782
ORTHOMCL10027	 -2533.834345	 -2533.834345
ORTHOMCL2915	 -3685.932075	 -3685.932075
ORTHOMCL4698	  -973.084712	  -973.084712
ORTHOMCL9564	 -5166.718059	 -5166.718059
ORTHOMCL1728	 -1938.095308	 -1938.103455
ORTHOMCL5044	 -1026.808284	 -1026.808284
ORTHOMCL2305	 -3873.471325	 -3873.471325
ORTHOMCL9997	 -1301.583817	 -1301.583817
ORTHOMCL9335	 -3515.394034	 -3515.819150
ORTHOMCL9393	 -2122.338923	 -2122.338923
ORTHOMCL4015	 -1196.468331	 -1196.468331
ORTHOMCL9556	 -1409.085719	 -1409.085719
ORTHOMCL685	 -2785.412132	 -2785.579783
ORTHOMCL4351	 -1153.713959	 -1153.713959
ORTHOMCL4349	 -1641.772356	 -1641.772356
ORTHOMCL4157	 -4592.503163	 -4600.241836
ORTHOMCL4098	 -2032.726305	 -2032.726305
ORTHOMCL4811	 -4008.127479	 -4008.127479
ORTHOMCL8525	 -1937.363344	 -1937.800156
ORTHOMCL9606	  -998.980235	  -999.665803
ORTHOMCL5855	 -1816.757046	 -1816.760481
ORTHOMCL9483	  -889.808663	  -889.808663
ORTHOMCL3706	 -3607.486265	 -3607.486265
ORTHOMCL9519	  -603.141665	  -603.141665
ORTHOMCL2291	 -2046.467368	 -2046.467370
ORTHOMCL5537	  -913.708590	  -913.708590
ORTHOMCL2880	 -3462.484693	 -3462.484693
ORTHOMCL3379	 -1161.223923	 -1161.223923
ORTHOMCL9988	 -3308.751013	 -3308.751013
ORTHOMCL2204	 -2576.769194	 -2576.769194
ORTHOMCL2223	 -3663.316690	 -3663.342956
ORTHOMCL2099	 -1594.137774	 -1595.144160
ORTHOMCL3989	  -625.459564	  -625.459574
ORTHOMCL3666	 -1018.561995	 -1018.561995
ORTHOMCL9790	 -1105.186045	 -1105.226602
ORTHOMCL4312	 -2306.625752	 -2306.625752
ORTHOMCL6052	  -772.437637	  -772.443250
ORTHOMCL1381	 -1737.265633	 -1737.265633
ORTHOMCL5040	 -1143.825208	 -1143.825208
ORTHOMCL9318	 -1204.070577	 -1204.070577
ORTHOMCL3613	 -4599.936328	 -4599.936328
ORTHOMCL9071	 -4056.275930	 -4056.275930
ORTHOMCL2395	 -1455.919829	 -1455.919829
ORTHOMCL7347	  -998.769944	  -998.769944
ORTHOMCL7629	 -1651.687439	 -1651.687439
ORTHOMCL7260	  -450.787657	  -450.787657
ORTHOMCL3798	 -1454.572866	 -1454.572866
ORTHOMCL9611	 -1097.524371	 -1097.523170
ORTHOMCL3332	 -1253.651585	 -1253.654213
ORTHOMCL1153	 -2181.270755	 -2181.270769
ORTHOMCL2399	 -3506.893883	 -3506.893883
ORTHOMCL1573	 -5279.200368	 -5279.200367
ORTHOMCL3441	 -1793.493459	 -1793.493459
ORTHOMCL9062	 -2264.884809	 -2264.884809
ORTHOMCL4732	 -3794.962412	 -3794.962412
ORTHOMCL4993	  -839.779495	  -839.779495
ORTHOMCL6352	 -1293.526280	 -1293.526280
ORTHOMCL9498	 -2557.959017	 -2560.665778
ORTHOMCL9828	 -4119.686651	 -4119.948601
ORTHOMCL1013	 -9001.747723	 -9001.747723
ORTHOMCL2628	 -3719.913200	 -3719.913200
ORTHOMCL6020	  -801.970266	  -801.970266
ORTHOMCL4995	 -2766.827530	 -2766.827530
ORTHOMCL1673	 -2438.139603	 -2438.139603
ORTHOMCL3363	 -4124.573375	 -4124.573377
ORTHOMCL2884	 -3041.126634	 -3041.126634
ORTHOMCL9598	  -767.184781	  -767.184781
ORTHOMCL7061	 -2608.393827	 -2608.393827
ORTHOMCL8975	 -1701.948793	 -1701.948793
ORTHOMCL104	 -5513.460903	 -5513.460903
ORTHOMCL9866	  -946.421532	  -946.421532
ORTHOMCL2389	 -1886.930091	 -1886.930091
ORTHOMCL8441	 -2612.865974	 -2612.865982
ORTHOMCL4819	 -3014.207603	 -3014.207603
ORTHOMCL9143	  -732.200645	  -732.200089
ORTHOMCL10208	 -2274.860196	 -2277.166690
ORTHOMCL4854	 -3282.591410	 -3284.304018
ORTHOMCL7429	 -3600.509149	 -3600.509149
ORTHOMCL8666	 -2049.093920	 -2049.093920
ORTHOMCL5891	 -2441.903383	 -2441.903383
ORTHOMCL9554	  -749.831202	  -749.831202
ORTHOMCL5962	  -498.877590	  -498.877590
ORTHOMCL2842	 -4721.658085	 -4721.658085
ORTHOMCL4883	 -1192.070918	 -1192.070918
