ID	lnL
ORTHOMCL10000	 -2710.681733
ORTHOMCL10001	 -1525.456668
ORTHOMCL10002	 -4444.261462
ORTHOMCL10003	 -3585.704531
ORTHOMCL10004	  -893.470209
ORTHOMCL10005	 -2703.316593
ORTHOMCL10006	 -1346.767050
ORTHOMCL10007	 -1370.835095
ORTHOMCL10008	
ORTHOMCL10009	 -1372.345846
ORTHOMCL10010	 -1740.585530
ORTHOMCL10011	 -1383.975143
ORTHOMCL10012	  -965.495544
ORTHOMCL10013	  -938.094050
ORTHOMCL10014	  -754.568579
ORTHOMCL10016	
ORTHOMCL10017	
ORTHOMCL10018	  -182.815140
ORTHOMCL10019	 -1293.036396
ORTHOMCL10020	 -1831.824946
ORTHOMCL10021	 -1393.063122
ORTHOMCL10022	 -2270.116725
ORTHOMCL10023	
ORTHOMCL10025	 -2106.066602
ORTHOMCL10026	 -2347.413856
ORTHOMCL10027	 -2612.453673
ORTHOMCL10028	 -1084.125841
ORTHOMCL10029	 -1088.600053
ORTHOMCL1003	 -8803.640059
ORTHOMCL10030	 -2183.262945
ORTHOMCL10032	  -724.197528
ORTHOMCL10033	 -1167.571796
ORTHOMCL10034	  -790.924302
ORTHOMCL10035	 -2492.589535
ORTHOMCL10036	 -1905.839987
ORTHOMCL10037	 -3038.850529
ORTHOMCL10038	 -2068.763619
ORTHOMCL10039	 -1706.433479
ORTHOMCL10040	 -3022.863566
ORTHOMCL10041	 -3016.369694
ORTHOMCL10042	 -1470.288639
ORTHOMCL10043	  -714.827034
ORTHOMCL10044	
ORTHOMCL10045	 -1336.853898
ORTHOMCL10046	 -1056.852262
ORTHOMCL10047	 -1268.603262
ORTHOMCL10048	 -1590.665700
ORTHOMCL10049	 -1667.273062
ORTHOMCL1005	
ORTHOMCL10050	  -937.703500
ORTHOMCL10051	  -770.817110
ORTHOMCL10052	  -515.380619
ORTHOMCL10053	 -2090.128667
ORTHOMCL10054	  -742.518129
ORTHOMCL10055	  -492.094968
ORTHOMCL10056	 -2398.357224
ORTHOMCL10057	 -3140.467193
ORTHOMCL10058	 -1193.439524
ORTHOMCL10059	  -586.375871
ORTHOMCL1006	 -2415.047798
ORTHOMCL10060	  -530.836483
ORTHOMCL10061	
ORTHOMCL10062	  -943.527868
ORTHOMCL10063	  -727.117738
ORTHOMCL10064	 -2213.409353
ORTHOMCL10065	 -1820.849086
ORTHOMCL10066	  -509.349769
ORTHOMCL10067	 -5673.213187
ORTHOMCL10068	   -22.670816
ORTHOMCL10069	 -4487.190689
ORTHOMCL1007	
ORTHOMCL10071	 -1322.914189
ORTHOMCL10072	  -491.359129
ORTHOMCL10073	 -1000.304051
ORTHOMCL10074	 -3077.708262
ORTHOMCL10077	
ORTHOMCL10078	 -3610.619857
ORTHOMCL10079	 -4812.048728
ORTHOMCL1008	 -1732.624355
ORTHOMCL10080	 -3400.063716
ORTHOMCL10081	
ORTHOMCL10082	  -494.448817
ORTHOMCL10083	 -3913.495729
ORTHOMCL10084	 -2977.792669
ORTHOMCL10085	  -701.319944
ORTHOMCL10086	 -2846.702370
ORTHOMCL10087	 -2876.587795
ORTHOMCL10088	
ORTHOMCL10089	
ORTHOMCL1009	 -2862.195345
ORTHOMCL10090	  -510.646303
ORTHOMCL10091	 -2253.321572
ORTHOMCL10092	 -2587.027970
ORTHOMCL10093	  -648.165601
ORTHOMCL10094	  -902.930874
ORTHOMCL10095	 -2125.875476
ORTHOMCL10096	 -1102.053269
ORTHOMCL10097	 -2927.843133
ORTHOMCL10098	 -1550.916576
ORTHOMCL10099	 -2917.793131
ORTHOMCL1010	 -1028.332627
